face,script,method,n_truth,n_pred,n_atf,recall,precision,first_err,count_ok,px_per_line,coverage
BM.46918__obverse,OB,free,7,10,7,1.0,0.7,0.09436516503481349,False,475.5,1.0
BM.46918__obverse,OB,comb,7,7,7,1.0,1.0,0.08910754148065997,True,475.5,1.0
BM.46918__obverse,OB,dp,7,7,7,1.0,1.0,0.09436516503481349,True,475.5,1.0
CBS.112__obverse,OB,free,13,10,13,0.6153846153846154,0.8,0.5470307083861089,False,210.3,1.0
CBS.112__obverse,OB,comb,13,13,13,0.6923076923076923,0.6923076923076923,1.2223463719752794,True,210.3,1.0
CBS.112__obverse,OB,dp,13,13,13,0.7692307692307693,0.7692307692307693,0.5470307083861089,True,210.3,1.0
CBS.112__reverse,OB,free,14,2,14,0.07142857142857142,0.5,nan,False,179.9,1.0
CBS.112__reverse,OB,comb,14,14,14,0.5,0.5,nan,True,179.9,1.0
CBS.112__reverse,OB,dp,14,14,14,0.5714285714285714,0.5714285714285714,nan,True,179.9,1.0
BM.48430__obverse,OB,free,6,2,9,0.0,nan,nan,False,292.3,0.67
BM.48430__obverse,OB,comb,6,9,9,0.5,nan,nan,True,292.3,0.67
BM.48430__obverse,OB,dp,6,9,9,0.3333333333333333,nan,nan,True,292.3,0.67
BM.48430__reverse,OB,free,7,4,7,0.42857142857142855,0.75,nan,False,307.5,1.0
BM.48430__reverse,OB,comb,7,7,7,0.42857142857142855,0.42857142857142855,nan,True,307.5,1.0
BM.48430__reverse,OB,dp,7,7,7,0.42857142857142855,0.42857142857142855,nan,True,307.5,1.0
CBS.1470__reverse,NA,free,11,4,11,0.18181818181818182,0.5,nan,False,123.2,1.0
CBS.1470__reverse,NA,comb,11,11,11,0.36363636363636365,0.36363636363636365,nan,True,123.2,1.0
CBS.1470__reverse,NA,dp,11,11,11,0.45454545454545453,0.45454545454545453,nan,True,123.2,1.0
CBS.1490__bottom,NA,free,2,2,2,1.0,1.0,nan,True,368.6,1.0
CBS.1490__bottom,NA,comb,2,2,2,0.5,0.5,nan,True,368.6,1.0
CBS.1490__bottom,NA,dp,2,2,2,0.5,0.5,nan,True,368.6,1.0
CBS.1384__obverse,OB,free,16,2,16,0.0625,0.5,5.626249473381442,False,291.6,1.0
CBS.1384__obverse,OB,comb,16,16,16,0.625,0.625,0.05996451838810451,True,291.6,1.0
CBS.1384__obverse,OB,dp,16,16,16,0.5625,0.5625,0.7191850015021563,True,291.6,1.0
CBS.1384__reverse,OB,free,15,6,15,0.26666666666666666,0.6666666666666666,2.2489893421536196,False,272.1,1.0
CBS.1384__reverse,OB,comb,15,15,15,0.6666666666666666,0.6666666666666666,0.5595369349503859,True,272.1,1.0
CBS.1384__reverse,OB,dp,15,15,15,0.6,0.6,2.4937522969496504,True,272.1,1.0
CBS.1470__obverse,NA,free,10,5,11,0.5,1.0,8.353317197166565,False,138.4,0.91
CBS.1470__obverse,NA,comb,10,11,11,0.7,0.6363636363636364,6.53250794861165,True,138.4,0.91
CBS.1470__obverse,NA,dp,10,11,11,0.8,0.7272727272727273,7.818635116241709,True,138.4,0.91
CBS.1490__obverse,NA,free,7,4,7,0.42857142857142855,0.75,0.8908461306835287,False,332.1,1.0
CBS.1490__obverse,NA,comb,7,7,7,0.8571428571428571,0.8571428571428571,0.9110207768744355,True,332.1,1.0
CBS.1490__obverse,NA,dp,7,7,7,0.8571428571428571,0.8571428571428571,0.015206263173743052,True,332.1,1.0
CBS.1490__reverse,NA,free,3,3,3,0.3333333333333333,0.3333333333333333,nan,True,483.6,1.0
CBS.1490__reverse,NA,comb,3,3,3,0.6666666666666666,0.6666666666666666,nan,True,483.6,1.0
CBS.1490__reverse,NA,dp,3,3,3,0.6666666666666666,0.6666666666666666,nan,True,483.6,1.0
CBS.1516__obverse,NA,free,32,3,36,0.0625,nan,nan,False,139.6,0.89
CBS.1516__obverse,NA,comb,32,36,36,0.5,nan,nan,True,139.6,0.89
CBS.1516__obverse,NA,dp,32,36,36,0.6875,nan,nan,True,139.6,0.89
CBS.156__reverse,OB,free,7,2,7,0.14285714285714285,0.5,0.5512977637212636,False,302.5,1.0
CBS.156__reverse,OB,comb,7,7,7,0.7142857142857143,0.7142857142857143,1.423033300911346,True,302.5,1.0
CBS.156__reverse,OB,dp,7,7,7,0.5714285714285714,0.5714285714285714,0.5572481769444039,True,302.5,1.0
CBS.1516__reverse,NA,free,30,5,30,0.0,0.0,1.4558262465072638,False,134.5,1.0
CBS.1516__reverse,NA,comb,30,30,30,0.6666666666666666,0.6666666666666666,0.2698243111135538,True,134.5,1.0
CBS.1516__reverse,NA,dp,30,30,30,0.6666666666666666,0.6666666666666666,0.7547110048715764,True,134.5,1.0
CBS.1554__reverse,OB,free,8,6,13,0.5,nan,0.8609942638623327,False,261.5,0.62
CBS.1554__reverse,OB,comb,8,13,13,1.0,nan,0.9321223709369025,True,261.5,0.62
CBS.1554__reverse,OB,dp,8,13,13,1.0,nan,0.9233269598470364,True,261.5,0.62
CBS.156__obverse,OB,free,7,4,7,0.42857142857142855,0.75,1.3768930005730429,False,281.4,1.0
CBS.156__obverse,OB,comb,7,7,7,0.5714285714285714,0.5714285714285714,0.8203351444162963,True,281.4,1.0
CBS.156__obverse,OB,dp,7,7,7,0.7142857142857143,0.7142857142857143,0.27952270917290073,True,281.4,1.0
CBS.3656__obverse,OB,free,4,2,26,0.0,nan,nan,False,149.8,0.15
CBS.3656__obverse,OB,comb,4,26,26,0.25,nan,nan,True,149.8,0.15
CBS.3656__obverse,OB,dp,4,26,26,0.75,nan,nan,True,149.8,0.15
DT.42__face,NA,free,17,5,,0.29411764705882354,nan,3.185997171185019,False,57.2,nan
DT.42__face,NA,comb,17,5,,0.29411764705882354,nan,3.185997171185019,False,57.2,nan
DT.42__face,NA,dp,17,5,,0.29411764705882354,nan,3.185997171185019,False,57.2,nan
