face,method,split,n_truth,n_pred,recall,precision,first_err,count_ok,px_per_line
P359288_reverse,det,test,12,9,0.16666666666666666,0.2222222222222222,1.510799194717227,False,101.0
P359309_obverse,dp,test,2,13,1.0,0.15384615384615385,0.30135135135135127,False,74.00000000000001
P359309_obverse,comb,test,2,13,1.0,0.15384615384615385,1.0851351351351348,False,74.00000000000001
P359314_obverse,dp,tune,11,13,0.9090909090909091,0.7692307692307693,1.5779141104294478,False,81.5
P359314_obverse,comb,tune,11,13,0.9090909090909091,0.7692307692307693,1.6687116564417177,False,81.5
P359314_obverse,det_n,tune,11,13,0.09090909090909091,0.07692307692307693,2.6629164770164375,False,81.5
P359314_obverse,det,tune,11,7,0.09090909090909091,0.14285714285714285,2.6629164770164375,False,81.5
P359318_reverse,dp,test,1,1,1.0,1.0,0.0,True,1150.0
P359318_reverse,comb,test,1,1,1.0,1.0,0.0,True,1150.0
P359344_reverse,dp,tune,2,13,0.5,0.07692307692307693,0.7563492063492062,False,126.00000000000001
P359344_reverse,comb,tune,2,13,0.5,0.07692307692307693,0.7563492063492062,False,126.00000000000001
P359344_reverse,det_n,tune,2,13,1.0,0.15384615384615385,0.38358395018129865,False,126.00000000000001
P359344_reverse,det,tune,2,3,1.0,0.6666666666666666,0.38358395018129865,False,126.00000000000001
P359355_obverse,dp,test,6,6,1.0,1.0,0.0,True,39.0
P359355_obverse,comb,test,6,6,1.0,1.0,0.0,True,39.0
P359355_obverse,det_n,test,6,6,0.3333333333333333,0.3333333333333333,3.077555165919046,True,39.0
P359355_obverse,det,test,6,1,0.16666666666666666,1.0,3.077555165919046,False,39.0
P359381_obverse,dp,test,9,8,0.8888888888888888,1.0,1.0623376623376624,False,115.5
P359381_obverse,comb,test,9,8,0.8888888888888888,1.0,0.014718614718614744,False,115.5
P359381_obverse,det_n,test,9,8,0.7777777777777778,0.875,0.3473058595332462,False,115.5
P359381_obverse,det,test,9,6,0.5555555555555556,0.8333333333333334,0.3473058595332462,False,115.5
P359389_obverse,dp,tune,6,6,1.0,1.0,0.0,True,36.0
P359389_obverse,comb,tune,6,6,1.0,1.0,0.019444444444444424,True,36.0
P359939_obverse,dp,test,10,15,0.9,0.6,0.0008665511265164154,False,115.39999999999998
P359939_obverse,comb,test,10,15,0.9,0.6,0.06152512998266894,False,115.39999999999998
P359939_obverse,det_n,test,10,15,0.3,0.2,0.6695361662645545,False,115.39999999999998
P359939_obverse,det,test,10,7,0.1,0.14285714285714285,0.4558415699257768,False,115.39999999999998
P359946_obverse,dp,tune,2,13,1.0,0.15384615384615385,0.032530120481927736,False,83.00000000000001
P359946_obverse,comb,tune,2,13,0.5,0.07692307692307693,0.8590361445783131,False,83.00000000000001
P359946_obverse,det_n,tune,2,13,0.0,0.0,0.5240963855421685,False,83.00000000000001
P359946_obverse,det,tune,2,1,0.0,0.0,0.5240963855421685,False,83.00000000000001
P359947_obverse,dp,tune,3,9,1.0,0.3333333333333333,0.7810344827586205,False,58.00000000000001
P359947_obverse,comb,tune,3,9,1.0,0.3333333333333333,0.7810344827586205,False,58.00000000000001
P359947_obverse,det_n,tune,3,9,1.0,0.3333333333333333,0.30808668645569326,False,58.00000000000001
P359947_obverse,det,tune,3,3,1.0,1.0,0.30808668645569326,True,58.00000000000001
P359949_reverse,dp,tune,6,17,0.8333333333333334,0.29411764705882354,0.06476997578692496,False,165.2
P359949_reverse,comb,tune,6,17,0.8333333333333334,0.29411764705882354,0.04055690072639227,False,165.2
P359949_reverse,det_n,tune,6,17,0.5,0.17647058823529413,0.8473289859033979,False,165.2
P359949_reverse,det,tune,6,4,0.5,0.75,1.1988271484941466,False,165.2
P360778_reverse,dp,tune,9,9,0.7777777777777778,0.7777777777777778,1.7701149425287357,True,43.5
P360778_reverse,comb,tune,9,9,1.0,1.0,0.09195402298850575,True,43.5
P360778_reverse,det_n,tune,9,9,0.1111111111111111,0.1111111111111111,1.2436833044008746,True,43.5
P360778_reverse,det,tune,9,5,0.1111111111111111,0.2,1.2436833044008746,False,43.5
P360849_reverse,dp,test,2,3,0.5,0.3333333333333333,1.0,False,67.0
