face,side,n_lines,atf_lines,count_diff,agreement,proximity,n_boxes,spacing_cv,confidence
P357568_obverse,obverse,15,15,0,0.8,0.625,48,0.072,0.784
P359232_obverse,obverse,5,5,0,0.6,0.769,13,0.018,0.784
P389611_obverse,obverse,12,,,0.917,0.487,39,0.053,0.784
P357503_left,left,3,3,0,0.667,0.688,16,0.0,0.785
P260366_obverse,obverse,8,8,0,0.625,0.765,17,0.032,0.786
P357444_obverse,obverse,8,8,0,0.75,0.654,26,0.046,0.786
P359124_obverse,obverse,10,10,0,0.9,0.5,54,0.043,0.786
P359286_reverse,reverse,7,7,0,0.857,0.559,34,0.057,0.786
P389657_obverse,obverse,8,,,1.0,0.395,38,0.037,0.786
P250568_obverse,obverse,8,,,0.875,0.694,36,0.209,0.787
P361137_obverse,obverse,10,10,0,0.6,0.833,18,0.072,0.787
P260383_obverse,obverse,7,7,0,0.857,0.562,16,0.056,0.788
P358562_obverse,obverse,19,19,0,0.737,0.667,75,0.041,0.788
P358584_obverse,obverse,22,22,0,0.727,0.67,100,0.034,0.788
P359173_reverse,reverse,5,5,0,0.8,0.6,5,0.036,0.788
P357687_obverse,obverse,5,5,0,0.6,,4,0.022,0.789
P358211_left,left,5,5,0,0.6,,2,0.022,0.789
P358289_obverse,obverse,5,5,0,0.6,,2,0.022,0.789
P359166_obverse,obverse,8,8,0,0.75,0.667,18,0.05,0.789
P359331_reverse,reverse,10,10,0,0.9,0.5,10,0.033,0.789
P393107_reverse,reverse,8,8,0,0.875,0.524,21,0.028,0.79
P357403_obverse,obverse,11,11,0,0.727,0.667,51,0.022,0.791
P357531_reverse,reverse,17,17,0,0.706,0.714,56,0.048,0.791
P357589_obverse,obverse,13,13,0,0.923,0.532,79,0.083,0.791
P357635_left,left,4,4,0,0.75,0.647,17,0.023,0.791
P357649_left,left,3,3,0,0.667,0.719,32,0.014,0.791
P359311_obverse,obverse,7,7,0,0.857,0.529,34,0.014,0.791
